,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
784,2015-08-01,5910.835734118233,4219.713695084152,6296.1915370421675,5910.835734118233,5910.835734118233,-674.0468626249088,-674.0468626249088,-674.0468626249088,-719.5176400179868,-719.5176400179868,-719.5176400179868,45.47077739307789,45.47077739307789,45.47077739307789,0.0,0.0,0.0,5236.788871493324
785,2015-08-02,5911.59324583014,4656.246366021338,6797.970507553901,5911.59324583014,5911.59324583014,-169.4987694566556,-169.4987694566556,-169.4987694566556,-194.74430787899567,-194.74430787899567,-194.74430787899567,25.245538422340054,25.245538422340054,25.245538422340054,0.0,0.0,0.0,5742.094476373485
786,2015-08-03,5912.350757542046,5870.457921690329,7946.856873410052,5912.350757542046,5912.350757542046,1015.8563811271603,1015.8563811271603,1015.8563811271603,1012.5963136101507,1012.5963136101507,1012.5963136101507,3.26006751700962,3.26006751700962,3.26006751700962,0.0,0.0,0.0,6928.207138669207
787,2015-08-04,5913.108269253952,5118.819176470111,7243.000717626684,5913.108269253952,5913.108269253952,203.15366146154204,203.15366146154204,203.15366146154204,223.2810976003326,223.2810976003326,223.2810976003326,-20.127436138790568,-20.127436138790568,-20.127436138790568,0.0,0.0,0.0,6116.261930715495
788,2015-08-05,5913.86578096586,4614.103731449937,6645.991955265471,5913.86578096586,5913.86578096586,-248.12850042490453,-248.12850042490453,-248.12850042490453,-203.56657239885973,-203.56657239885973,-203.56657239885973,-44.5619280260448,-44.5619280260448,-44.5619280260448,0.0,0.0,0.0,5665.737280540955
789,2015-08-06,5914.623292677766,4635.556489267017,6761.367837231092,5914.623292677766,5914.623292677766,-253.30125932303545,-253.30125932303545,-253.30125932303545,-183.60100499970375,-183.60100499970375,-183.60100499970375,-69.70025432333172,-69.70025432333172,-69.70025432333172,0.0,0.0,0.0,5661.322033354731
790,2015-08-07,5915.380804389673,4911.654974981653,6953.533193597714,5915.380804389673,5915.380804389673,-29.666853732214385,-29.666853732214385,-29.666853732214385,65.55211408529432,65.55211408529432,65.55211408529432,-95.21896781750871,-95.21896781750871,-95.21896781750871,0.0,0.0,0.0,5885.713950657459
791,2015-08-08,5916.138316101579,3974.181817925671,6052.914583646979,5916.138316101579,5916.138342055313,-840.3386574702467,-840.3386574702467,-840.3386574702467,-719.5176400178887,-719.5176400178887,-719.5176400178887,-120.82101745235815,-120.82101745235815,-120.82101745235815,0.0,0.0,0.0,5075.799658631333
792,2015-08-09,5916.895827813485,4594.616221502361,6574.700526900114,5916.895827813485,5916.895884631291,-340.98545324803865,-340.98545324803865,-340.98545324803865,-194.74430787838332,-194.74430787838332,-194.74430787838332,-146.24114536965536,-146.24114536965536,-146.24114536965536,0.0,0.0,0.0,5575.910374565447
793,2015-08-10,5917.653339525393,5627.730790512942,7750.909441423819,5917.653313972075,5917.65351276578,841.3464436997436,841.3464436997436,841.3464436997436,1012.5963136089147,1012.5963136089147,1012.5963136089147,-171.24986990917103,-171.24986990917103,-171.24986990917103,0.0,0.0,0.0,6758.9997832251365
794,2015-08-11,5918.410851237299,4898.22633083158,7040.056678873619,5918.4107107366835,5918.411109356759,27.62511685874335,27.62511685874335,27.62511685874335,223.28109760209298,223.28109760209298,223.28109760209298,-195.65598074334963,-195.65598074334963,-195.65598074334963,0.0,0.0,0.0,5946.035968096042
795,2015-08-12,5919.168362949205,4457.715836744951,6589.246596040881,5919.168070701184,5919.168775308829,-422.8740940787374,-422.8740940787374,-422.8740940787374,-203.56657239900156,-203.56657239900156,-203.56657239900156,-219.3075216797358,-219.3075216797358,-219.3075216797358,0.0,0.0,0.0,5496.294268870468
796,2015-08-13,5919.925874661112,4502.465743167147,6577.995562367037,5919.92541064362,5919.926476053271,-425.6922911403363,-425.6922911403363,-425.6922911403363,-183.60100500088402,-183.60100500088402,-183.60100500088402,-242.09128613945222,-242.09128613945222,-242.09128613945222,0.0,0.0,0.0,5494.233583520776
797,2015-08-14,5920.683386373018,4728.151876591717,6815.32462372424,5920.682742019023,5920.684144285367,-198.37878432032156,-198.37878432032156,-198.37878432032156,65.55211408570106,65.55211408570106,65.55211408570106,-263.9308984060226,-263.9308984060226,-263.9308984060226,0.0,0.0,0.0,5722.304602052696
798,2015-08-15,5921.440898084925,3893.660768811446,5900.935912741084,5921.44001876244,5921.44184077755,-1004.301238985276,-1004.301238985276,-1004.301238985276,-719.5176400177907,-719.5176400177907,-719.5176400177907,-284.7835989674853,-284.7835989674853,-284.7835989674853,0.0,0.0,0.0,4917.139659099649
799,2015-08-16,5922.198409796832,4433.940010753645,6477.975573287774,5922.197312623161,5922.199447704796,-499.38020116045624,-499.38020116045624,-499.38020116045624,-194.74430787898504,-194.74430787898504,-194.74430787898504,-304.63589328147117,-304.63589328147117,-304.63589328147117,0.0,0.0,0.0,5422.818208636375
800,2015-08-17,5922.955921508738,5479.012144217675,7624.806094462205,5922.954607961998,5922.957162472165,689.0980547836235,689.0980547836235,689.0980547836235,1012.5963136094139,1012.5963136094139,1012.5963136094139,-323.4982588257904,-323.4982588257904,-323.4982588257904,0.0,0.0,0.0,6612.053976292362
801,2015-08-18,5923.713433220644,4819.059090978826,6808.804071774166,5923.711979649506,5923.714914135649,-118.11803669796296,-118.11803669796296,-118.11803669796296,223.28109760071445,223.28109760071445,223.28109760071445,-341.39913429867744,-341.39913429867744,-341.39913429867744,0.0,0.0,0.0,5805.595396522681
802,2015-08-19,5924.470944932551,4304.71164449978,6429.479638455981,5924.469189999128,5924.472579008386,-561.9450088196941,-561.9450088196941,-561.9450088196941,-203.56657239914335,-203.56657239914335,-203.56657239914335,-358.37843642055066,-358.37843642055066,-358.37843642055066,0.0,0.0,0.0,5362.525936112857
803,2015-08-20,5925.228456644457,4241.861972608338,6478.674852481679,5925.226586399014,5925.230262458423,-558.0818683311055,-558.0818683311055,-558.0818683311055,-183.6010049996821,-183.6010049996821,-183.6010049996821,-374.48086333142345,-374.48086333142345,-374.48086333142345,0.0,0.0,0.0,5367.1465883133515
804,2015-08-21,5925.985968356364,4616.632830623449,6581.609786574748,5925.983944128372,5925.9879523115915,-324.1971345813449,-324.1971345813449,-324.1971345813449,65.55211408733156,65.55211408733156,65.55211408733156,-389.7492486686765,-389.7492486686765,-389.7492486686765,0.0,0.0,0.0,5601.788833775019
805,2015-08-22,5926.74348006827,3776.6895590056797,5854.316479864092,5926.741133833134,5926.745660262099,-1123.735866931461,-1123.735866931461,-1123.735866931461,-719.5176400184529,-719.5176400184529,-719.5176400184529,-404.2182269130082,-404.2182269130082,-404.2182269130082,0.0,0.0,0.0,4803.00761313681
806,2015-08-23,5927.500991780177,4213.798892641464,6297.802239158653,5927.498275307541,5927.503435490348,-612.652766506009,-612.652766506009,-612.652766506009,-194.74430787837267,-194.74430787837267,-194.74430787837267,-417.9084586276363,-417.9084586276363,-417.9084586276363,0.0,0.0,0.0,5314.848225274168
807,2015-08-24,5928.258503492083,5390.088233078427,7554.964374372118,5928.2557230381635,5928.261101099156,581.774669442876,581.774669442876,581.774669442876,1012.5963136089464,1012.5963136089464,1012.5963136089464,-430.8216441660704,-430.8216441660704,-430.8216441660704,0.0,0.0,0.0,6510.033172934959
808,2015-08-25,5929.016015203991,4673.260382801522,6772.838975666716,5929.012859336142,5929.018836329213,-219.65542931138958,-219.65542931138958,-219.65542931138958,223.28109760028798,223.28109760028798,223.28109760028798,-442.93652691167756,-442.93652691167756,-442.93652691167756,0.0,0.0,0.0,5709.360585892601
809,2015-08-26,5929.773526915897,4104.31462179196,6293.71578149401,5929.770170934303,5929.776562841532,-657.7726253956895,-657.7726253956895,-657.7726253956895,-203.56657239928504,-203.56657239928504,-203.56657239928504,-454.20605299640437,-454.20605299640437,-454.20605299640437,0.0,0.0,0.0,5272.000901520207
810,2015-08-27,5930.531038627802,4281.811464724193,6429.038295453417,5930.527529267893,5930.534281506258,-648.1568197801112,-648.1568197801112,-648.1568197801112,-183.60100500086236,-183.60100500086236,-183.60100500086236,-464.55581477924875,-464.55581477924875,-464.55581477924875,0.0,0.0,0.0,5282.374218847692
811,2015-08-28,5931.28855033971,4506.0637978696095,6598.347913065466,5931.284905225139,5931.2922618771245,-408.3317472929421,-408.3317472929421,-408.3317472929421,65.55211408663631,65.55211408663631,65.55211408663631,-473.8838613795784,-473.8838613795784,-473.8838613795784,0.0,0.0,0.0,5522.956803046768
